Quantity,Avg Price,Avg Mileage
729,16252.584362139918,40958.27572016461
11,5496.545454545455,125055.0
3,3990.0,197206.0
122,9337.295081967213,114575.88524590163
116,29678.344827586207,31335.568965517243
1509,9439.404903909874,110572.96090125911
1454,23831.460797799176,30585.028198074277
846,9488.364066193853,103948.97281323877
5,4400.0,71457.0
437,33835.31578947369,14236.755148741418
14,90290.14285714286,18381.85714285714
1902,21962.892744479494,28187.441640378547
38,25770.42105263158,35797.60526315789
5339,22412.855029031653,46522.77729911968
3456,29782.296006944445,39187.244791666664
1041,34755.03073967339,45264.27281460135
1211,34019.39306358381,54899.6936416185
58,54719.05172413793,11025.551724137931
12,26760.583333333332,95580.66666666667
98,67627.13265306123,35705.62244897959
642,26264.21028037383,31785.529595015578
543,28068.112338858195,54519.79005524862
205,40354.79512195122,42157.6243902439
178,46749.0393258427,36117.151685393255
110,42818.03636363636,58788.454545454544
2,33488.0,93500.0
37,96827.75675675676,25099.945945945947
5,108969.8,17587.2
3,29900.0,46287.0
3,147657.66666666666,12254.333333333334
4823,19094.133526850506,50862.5712212316
3261,25905.90524379025,51283.37043851579
1975,24186.494683544304,27165.76810126582
1711,37588.96960841613,13751.559906487435
1371,22462.57111597374,51455.50619985412
1105,46654.376470588235,18180.84705882353
1038,55303.04046242774,10459.345857418111
853,28704.23798358734,53714.89917936694
799,22645.715894868586,53135.17021276596
797,38361.77540777917,22223.11417816813
738,53540.41734417344,31880.166666666668
619,37316.4620355412,21628.1647819063
513,27605.251461988304,33643.08966861598
500,72807.672,15310.842
405,53395.24938271605,22721.140740740742
327,53494.45871559633,23496.333333333332
315,33838.73968253968,47353.06349206349
300,61725.526666666665,34004.18
291,65106.22680412371,11752.62886597938
289,10800.301038062284,102044.97577854671
240,56290.35833333333,7871.379166666667
212,30966.905660377357,37714.97169811321
203,50846.45812807882,6958.059113300493
195,5113.666666666667,112574.34358974358
170,44346.8,12294.894117647058
163,24893.944785276075,41066.30674846626
161,10332.478260869566,111004.31677018634
160,35968.1375,42175.09375
154,48200.7987012987,31183.636363636364
138,58198.137681159424,3207.0652173913045
130,6623.184615384615,111574.2923076923
127,35883.85826771653,44840.45669291339
106,27477.094339622643,51826.08490566038
105,5132.27619047619,128197.58095238096
94,29214.457446808512,53154.40425531915
89,19839.921348314605,77110.69662921349
87,26121.103448275862,66387.0459770115
67,7582.194029850746,118765.28358208956
60,5631.733333333334,105119.63333333333
58,15793.103448275862,81705.70689655172
54,6861.7037037037035,108537.14814814815
49,15611.857142857143,85788.77551020408
48,31407.8125,15705.645833333334
43,12287.953488372093,82136.74418604652
43,8937.860465116279,94022.27906976744
43,59446.20930232558,24667.162790697676
40,5718.225,149329.2
37,7115.594594594595,124547.2972972973
37,20801.54054054054,66302.21621621621
33,55800.48484848485,36672.51515151515
29,102381.10344827586,16536.344827586207
23,3596.782608695652,150708.73913043478
21,62017.857142857145,12380.047619047618
12,8161.666666666667,190007.91666666666
11,105909.27272727272,2159.4545454545455
9,4390.555555555556,161755.88888888888
9,5755.222222222223,121927.33333333333
8,74166.0,7752.625
8,5807.25,121179.25
7,31600.0,134156.2857142857
7,91929.14285714286,1429.7142857142858
7,2828.5714285714284,128985.28571428571
6,4462.0,140770.0
5,20750.0,66325.0
4,14366.5,81815.75
2,51397.5,25212.5
1,87996.0,1005.0
4761,14855.314009661835,64193.049149338374
2547,13260.807224185317,66682.71731448763
1930,12397.10932642487,53873.42020725388
1352,6973.73150887574,109998.6124260355
971,3843.7445932028836,130462.04634397528
473,3543.6088794926004,142330.4291754757
226,3626.4823008849557,134486.24336283185
11,1783.090909090909,112175.81818181818
9,4482.0,160933.0
1,3995.0,145150.0
3088,18557.971178756477,63501.655440414506
2416,23828.176738410595,41873.6113410596
1897,19190.672113863995,42657.70426989984
692,8065.956647398844,94572.59826589595
436,42986.77752293578,20116.45642201835
432,5102.972222222223,112504.68518518518
335,7243.214925373134,102912.9791044776
96,3540.3229166666665,123432.72916666667
4,995.0,102477.0
2,5992.5,32158.0
2,6992.5,76028.5
1,4898.0,53526.0
20044,12944.027389742567,60878.49915186589
16750,11530.370029850747,56233.944298507464
13909,13782.848515349773,73048.75569774966
2772,9155.760822510823,61253.47366522367
982,4449.409368635438,120673.26883910387
487,4639.88090349076,100341.56468172485
242,3283.1363636363635,125875.38842975207
123,13416.585365853658,48943.829268292684
82,39932.134146341465,16345.0
81,3508.395061728395,137677.93827160494
63,2916.84126984127,162666.31746031746
35,3451.457142857143,139158.17142857143
23,13511.91304347826,122513.30434782608
4,13988.0,71496.0
4,5561.75,144352.25
2,2000.0,109105.0
6909,18569.89216963381,49255.50629613548
6477,11845.35294117647,60134.73892234059
604,8584.021523178808,106777.54801324503
603,4560.449419568822,125246.16417910448
63,4131.587301587301,106870.84126984127
20,3292.9,141308.3
16,3678.75,107403.9375
4,2750.0,95800.5
2,5981.0,67915.0
1,2000.0,167000.0
7528,20610.34205632306,55250.49681190223
2884,10364.91470180305,60064.61095700416
2041,7510.365017148457,97921.14698677119
377,27481.671087533156,15877.496021220159
289,3566.567474048443,130032.1141868512
244,3014.659836065574,130760.59016393442
111,3263.7207207207207,125539.0990990991
1,2990.0,74374.0
7,36787.142857142855,17574.571428571428
28682,13820.243532529112,54612.83477442298
11351,9441.268434499163,64276.82345167827
7420,13773.511994609164,72935.28504043126
2211,9092.301221166892,50958.59791949344
423,4339.359338061466,135296.0
227,4927.057268722467,119860.46255506609
39,2507.6923076923076,121660.51282051283
29,2501.9310344827586,134297.93103448275
21,2225.095238095238,141839.42857142858
531,35157.5461393597,19560.9604519774
91,46426.73626373626,17501.626373626375
71,39402.98591549296,8254.211267605633
16007,14368.787780346098,67911.7728493784
15262,13129.32702136024,58432.901389070896
72,22672.305555555555,10409.916666666666
15,25451.6,12945.4
2,4599.0,67485.0
18412,12791.92456006952,62457.375190093415
16377,11967.955486352812,51567.12554191855
3192,9945.026315789473,52409.32142857143
2233,22804.28750559785,45178.080161218095
975,13790.323076923078,62841.22461538461
198,22851.964646464647,56464.78282828283
56,3470.339285714286,119608.17857142857
10,20990.0,100832.0
2,11986.0,59595.0
5,29125.8,18145.2
1999,21915.029014507254,40474.92396198099
780,12211.429487179486,84548.75
449,6701.35412026726,124700.9977728285
202,15036.410891089108,80862.86138613861
198,27361.510101010103,31160.00505050505
167,8625.532934131737,110060.4371257485
159,17201.974842767297,40055.3962264151
148,28644.162162162163,37437.49324324324
88,11002.988636363636,80287.81818181818
50,24294.3,119069.72
43,4102.720930232558,139162.13953488372
32,6958.78125,144087.5625
17,18462.647058823528,68902.29411764706
6,2976.1666666666665,124496.66666666667
5,15396.0,73151.4
2,5200.0,43377.0
1090,28027.501834862385,36854.78256880734
694,34187.897694524494,42401.70749279539
420,30135.44523809524,19787.795238095237
89,4787.7191011235955,112891.60674157304
58,6249.586206896552,74706.5172413793
29,6397.862068965517,90873.13793103448
15,6051.533333333334,83458.33333333333
11,8557.727272727272,78056.81818181818
8,5320.25,73804.0
11282,14094.963393015423,51810.84213791881
5058,11575.603795966785,45067.04804270463
1133,8868.425419240953,59457.98587819947
606,18706.326732673268,36355.40594059406
243,4278.481481481482,122560.39094650206
114,26058.035087719298,30138.22807017544
51,3577.549019607843,133156.9411764706
47,4179.489361702128,128964.68085106384
1,1600.0,228490.0
4333,19744.096699746133,65392.52088622202
2699,21664.052241570953,53621.13264171915
1380,23796.236231884057,63314.668115942026
1038,25225.077071290943,84876.8246628131
65,11442.076923076924,84140.63076923077
3,5449.0,195755.0
6827,19767.67057272594,43137.26278013769
1204,16235.775747508305,64984.30315614618
804,33488.022388059704,27606.330845771143
623,6829.215088282504,110171.00481540931
170,4331.888235294117,113977.17647058824
157,6328.891719745223,109532.3821656051
12,4662.75,73588.0
681,42134.54185022027,24565.10866372981
249,45951.06024096385,28446.453815261044
7042,11678.564328315819,63338.95526838966
6130,15358.375530179444,54305.66101141925
112,3246.535714285714,133675.76785714287
47,2397.531914893617,145228.87234042553
19,3383.2631578947367,143919.57894736843
9368,26239.262596071734,35957.3183176772
6158,31428.734654108477,41008.35628450796
2096,49349.40744274809,46572.056297709925
1558,24941.793966623878,30305.215019255455
253,34921.84584980237,3621.4268774703555
156,34379.01282051282,44332.89102564102
8,17482.5,22243.0
4,4954.0,183994.0
2,1495.0,170010.0
723,5252.434301521438,103169.54771784232
578,6184.278546712802,108075.40830449827
312,4224.74358974359,115321.10256410256
160,4067.675,122133.9875
31,4217.903225806452,127431.0
17,4293.117647058823,104312.76470588235
5,12352.2,64750.0
1408,13179.923295454546,65894.05539772728
492,4374.473577235773,142984.40650406503
214,10058.383177570093,23743.22429906542
63,24458.74603174603,56682.04761904762
16,4368.25,115922.0625
6,2872.1666666666665,91091.0
5,9990.0,24099.0
21060,13401.849810066476,58623.05584045584
14557,12102.480387442467,46090.94099058872
6201,17801.63860667634,59374.52830188679
3201,9784.41237113402,50530.250234301784
2,3257.0,104192.0
5,9407.4,52281.4
2,10991.0,94195.0
125,3470.8,135624.968
95,3073.9894736842107,142450.54736842104
27,4658.333333333333,178544.25925925927
24,4344.625,152600.875
12,4922.666666666667,137167.5
10,3676.5,137370.0
10,1348.3,178778.0
8,3837.5,157375.0
6,28314.666666666668,118268.66666666667
5,2759.0,94846.4
3,2926.3333333333335,65712.66666666667
1,2977.0,98380.0
8,1159.5,188927.75
2,3987.0,66232.0
1362,4863.828193832599,148721.31938325992
1209,4627.561621174525,145816.58891645988
253,3505.4505928853755,136819.1462450593
234,12203.311965811965,105827.77777777778
194,4173.283505154639,148009.12886597938
6,1837.3333333333333,154324.33333333334
2,6995.0,101485.0
590,57239.977966101695,37170.715254237286
12,153790.16666666666,15034.166666666666
2,159481.5,22866.5
131,5387.702290076336,117177.6641221374
78,5681.538461538462,110732.48717948717
526,3845.8574144486693,123183.55703422053
440,5351.202272727272,115632.37954545455
92,2846.8478260869565,125362.73913043478
39,3600.8205128205127,117171.15384615384
36,3292.777777777778,97057.11111111111
34,3289.9117647058824,109518.26470588235
29,2900.9310344827586,157138.93103448275
21,3391.2380952380954,102110.95238095238
17,6749.64705882353,87206.94117647059
13,1568.8461538461538,173289.15384615384
6,2943.0,96145.0
6371,17115.50478731753,44697.13247527861
2708,26017.326809453472,30806.23670605613
2559,15891.077373974209,49185.26103946854
13,8413.076923076924,86329.38461538461
5,6738.0,58165.0
43,7663.093023255814,77850.32558139534
23,3410.3478260869565,77151.34782608696
14,3450.4285714285716,126589.0
10,1906.1,108700.4
6,4989.333333333333,103849.0
21,45221.71428571428,8487.380952380952
22293,14114.638765531781,67550.6998609429
15487,11941.187705817783,60985.10783237554
3996,16258.593843843844,75551.80955955957
1732,9707.825635103925,106605.92551963049
384,7450.981770833333,99624.71614583333
373,13354.466487935657,22482.455764075068
295,11541.562711864406,35171.95593220339
273,7302.81684981685,107851.56410256411
193,21015.963730569947,9412.041450777202
102,26369.63725490196,13819.137254901962
80,3709.5375,170190.4375
30,12738.4,75470.33333333333
17292,12637.99427480916,55947.840677770066
17130,11354.569527145359,55288.178692352594
699,14104.688125894134,47275.203147353364
16,6293.375,100432.6875
11,35882.818181818184,12359.272727272728
9,2843.4444444444443,184048.11111111112
8,7206.25,126107.125
3105,19210.543639291467,44939.00193236715
849,36529.831566548884,21132.36042402827
397,9796.750629722921,95681.47355163727
325,6180.0646153846155,100423.99384615384
59,25481.98305084746,26708.84745762712
11,3669.7272727272725,101115.72727272728
9,5550.555555555556,246679.22222222222
6,6371.0,64678.0
6,2992.6666666666665,116708.0
2,2991.0,196407.0
1,1000.0,167544.0
